100	1000	1000	1000	1000
99	1000	1000	1000	1000
98	1000	1000	1000	1000
97	98	1000	1000	1000
96	98	1000	1000	1000
95	97	98	1000	1000
94	97	98	1000	1000
93	96	97	98	100
92	96	97	98	100
91	95	97	98	100
90	95	96	98	100
89	94	96	98	100
88	94	96	97	100
87	93	95	97	100
86	93	95	97	100
85	92	95	97	100
84	92	94	97	100
83	91	94	96	100
82	91	94	96	100
81	90	93	96	100
80	90	93	96	100
79	89	93	96	100
78	89	92	95	100
77	88	92	95	100
76	88	92	95	100
75	87	91	95	100
74	87	91	95	100
73	86	91	94	100
72	86	90	94	100
71	85	90	94	100
70	85	90	94	100
69	84	89	94	100
68	84	89	93	100
67	83	89	93	99
66	83	88	93	99
65	82	88	93	99
64	82	88	93	99
63	81	87	92	99
62	81	87	92	99
61	80	87	92	99
60	80	86	92	99
59	79	86	92	99
58	79	86	91	99
57	78	85	91	99
56	78	85	91	99
55	77	85	91	99
54	77	84	91	99
53	76	84	90	99
52	76	84	90	99
51	75	83	90	99
50	75	83	90	99
49	74	83	90	99
48	74	82	89	99
47	73	82	89	99
46	73	82	89	99
45	72	81	89	99
44	72	81	89	99
43	71	81	88	99
42	71	80	88	99
41	70	80	88	99
40	70	80	88	99
39	69	79	88	99
38	69	79	87	99
37	68	79	87	99
36	68	78	87	99
35	67	78	87	98
34	67	78	87	98
33	66	77	86	98
32	66	77	86	98
31	65	77	86	98
30	65	76	86	98
29	64	76	86	98
28	64	76	85	98
27	63	75	85	98
26	63	75	85	98
25	62	75	85	98
24	62	74	85	98
23	61	74	84	98
22	61	74	84	98
21	60	73	84	98
20	60	73	84	98
19	59	73	84	98
18	59	72	83	98
17	58	72	83	98
16	58	72	83	98
15	57	71	83	98
14	57	71	83	98
13	56	71	82	98
12	56	70	82	98
11	55	70	82	98
10	55	70	82	98
9	54	69	82	98
8	54	69	81	98
7	53	69	81	98
6	53	68	81	98
5	52	68	81	98
4	52	68	81	98
3	51	67	80	97
2	51	67	80	97
1	50	67	80	97
