60	1000	1000
59	1000	1000
58	1000	1000
57	60	1000
56	60	1000
55	59	1000
54	59	1000
53	58	1000
52	58	1000
51	57	1000
50	57	1000
49	56	1000
48	56	60
47	55	60
46	55	60
45	54	60
44	54	60
43	53	60
42	53	60
41	52	60
40	52	60
39	51	60
38	51	60
37	50	60
36	50	60
35	49	60
34	48	60
33	48	59
32	47	59
31	47	59
30	46	59
29	46	59
28	45	59
27	45	59
26	44	59
25	44	59
24	43	59
23	43	59
22	42	59
21	42	59
20	41	59
19	41	59
18	40	58
17	40	58
16	39	58
15	39	58
14	38	58
13	37	58
12	37	58
11	36	58
10	36	58
9	35	58
8	35	58
7	34	58
6	34	58
5	33	58
4	33	58
3	32	57
2	32	57
1	31	57
